cityid,cityname,lattitude,longitude
51499,"Trombay,Mumbai,400088,MAHARASHTRA",19.04425812,72.92636108
51500,"Chembur Rs,Mumbai,400089,MAHARASHTRA",19.05904007,72.89874268
51501,"Tilak Nagar (Mumbai),Mumbai,400089,MAHARASHTRA",19.05904007,72.89874268
51502,"Borivali,Mumbai,400091,MAHARASHTRA",19.23059845,72.84026337
51503,"Borivali West,Mumbai,400092,MAHARASHTRA",19.22551346,72.84806061
51504,"Chakala Midc,Mumbai,400093,MAHARASHTRA",19.12685013,72.86554718
51505,"Anushakti Nagar,Mumbai,400094,MAHARASHTRA",19.03752136,72.92785645
51506,"Ins Hamla,Mumbai,400095,MAHARASHTRA",19.17803955,72.81251526
51507,"Kharodi,Mumbai,400095,MAHARASHTRA",19.17803955,72.81251526
51508,"Seepz,Mumbai,400096,MAHARASHTRA",19.12332535,72.87045288
51509,"Malad East,Mumbai,400097,MAHARASHTRA",19.18338203,72.85783386
51510,"Rani Sati Marg,Mumbai,400097,MAHARASHTRA",19.18338203,72.85783386
51511,"Vidyanagari,Mumbai,400098,MAHARASHTRA",19.0701046,72.86339569
51512,"Airport (Mumbai),Mumbai,400099,MAHARASHTRA",19.11243439,72.85613251
51513,"International Airport,Mumbai,400099,MAHARASHTRA",19.11243439,72.85613251
51514,"Sahar P & T Colony,Mumbai,400099,MAHARASHTRA",19.11243439,72.85613251
51515,"Sahargaon,Mumbai,400099,MAHARASHTRA",19.11243439,72.85613251
51516,"Kandivali East,Mumbai,400101,MAHARASHTRA",19.20748711,72.8662796
51517,"Jogeshwari West,Mumbai,400102,MAHARASHTRA",19.14702797,72.83575439
51518,"Oshiwara,Mumbai,400102,MAHARASHTRA",19.14702797,72.83575439
51519,"Mandapeshwar,Mumbai,400103,MAHARASHTRA",19.23830605,72.84598541
51520,"Bangur Nagar,Mumbai,400104,MAHARASHTRA",19.15157509,72.84069061
51521,"Goregaon RS,Mumbai,400104,MAHARASHTRA",19.15157509,72.84069061
51522,"Goregaon (Mumbai),Mumbai,400104,MAHARASHTRA",19.15157509,72.84069061
51523,"Motilal Nagar,Mumbai,400104,MAHARASHTRA",19.15157509,72.84069061
51524,"Thane Bazar,Thane,400601,MAHARASHTRA",19.19768906,72.9704361
